sp_loc,fov,cell_ID,Area,AspectRatio,CenterX_local_px,CenterY_local_px,CenterX_global_px,CenterY_global_px,Width,Height,Mean.MembraneStain,Max.MembraneStain,Mean.PanCK,Max.PanCK,Mean.CD45,Max.CD45,Mean.CD3,Max.CD3,Mean.DAPI,Max.DAPI,sp_loc_meta,patient,cell_type,niche
2x821,2,821,2791,1.1,2121,2101,10782.1111111111,157317.666666667,65,59,2623,8734,466,1114,362,1343,0,140,8319,26135,2x821,Lung5,pDC,stroma
2x822,2,822,3325,0.86,404,2093,9065.11111111111,157309.666666667,60,70,1080,4143,428,842,238,729,0,43,9908,40695,2x822,Lung5,fibroblast,stroma
2x823,2,823,5330,1.34,717,2089,9378.11111111111,157305.666666667,99,74,1108,4322,6922,65253,168,822,0,124,7666,44771,2x823,Lung5,T CD8 naive,stroma
2x824,2,824,3089,0.98,1564,2097,10225.1111111111,157313.666666667,61,62,3003,16227,484,829,724,2831,0,90,14947,58291,2x824,Lung5,NK,stroma
2x825,2,825,1780,2.0,4024,2103,12685.1111111111,157319.666666667,72,36,3046,9936,24333,58793,298,714,0,106,7058,18947,2x825,Lung5,tumor 5,tumor interior
2x826,2,826,3624,1.07,4106,2091,12767.1111111111,157307.666666667,79,74,4747,10581,30612,65205,400,1526,0,148,5512,24586,2x826,Lung5,tumor 5,tumor interior
2x827,2,827,3823,1.02,4977,2085,13638.1111111111,157301.666666667,84,82,2412,6090,1220,2005,514,1270,45,1082,9373,30596,2x827,Lung5,mast,tumor interior
2x828,2,828,1871,0.6,5452,2085,14113.1111111111,157301.666666667,37,62,2337,5626,17013,44388,244,636,1,150,2219,14758,2x828,Lung5,tumor 5,tumor interior
2x829,2,829,8592,0.85,1283,2062,9944.11111111111,157278.666666667,102,120,3500,10715,26857,65270,308,867,0,102,5434,30186,2x829,Lung5,mast,stroma
2x830,2,830,4183,1.03,3120,2074,11781.1111111111,157290.666666667,78,76,4903,12040,46238,65200,472,1075,1,220,6726,28049,2x830,Lung5,tumor 5,tumor-stroma boundary
